Name,Application ID,Version,Branch,Origin,Arch
"Key Rack","app.drey.KeyRack","0.4.0","stable","x86_64","flathub"
"FreeRDP Client","com.freerdp.FreeRDP","3.17.2","stable","x86_64","flathub"
"Flatseal","com.github.tchx84.Flatseal","2.4.0","stable","x86_64","flathub"
"Celeste","com.hunterwittenborn.Celeste","0.8.3","stable","x86_64","flathub"
"Bottles","com.usebottles.bottles","51.24","stable","x86_64","flathub"
"Ente Auth","io.ente.auth","4.3.8","stable","x86_64","flathub"
"Warehouse","io.github.flattool.Warehouse","2.1.0","stable","x86_64","flathub"
"Flatsweep","io.github.giantpinkrobots.flatsweep","v2025.10.7","stable","x86_64","flathub"
"Bazaar","io.github.kolunmi.Bazaar","0.5.6","stable","x86_64","flathub"
"Exhibit","io.github.nokse22.Exhibit","1.5.1","stable","x86_64","flathub"
"Packet","io.github.nozwock.Packet","0.5.4","stable","x86_64","flathub"
"GitHub Desktop","io.github.shiftey.Desktop","3.4.13-linux1","stable","x86_64","flathub"
"Secrets Manager","io.github.tobagin.secrets","0.8.13","stable","x86_64","flathub"
"Gear Lever","it.mijorus.gearlever","3.4.5","stable","x86_64","flathub"
"Obsidian","md.obsidian.Obsidian","1.9.14","stable","x86_64","flathub"
"Lutris","net.lutris.Lutris","0.5.18","stable","x86_64","flathub"
"Freedesktop Platform","org.freedesktop.Platform","freedesktop-sdk-24.08.27","24.08","x86_64","flathub"
"Freedesktop Platform","org.freedesktop.Platform","freedesktop-sdk-25.08.2","25.08","x86_64","flathub"
"i386","org.freedesktop.Platform.Compat.i386","","24.08","x86_64","flathub"
"Mesa","org.freedesktop.Platform.GL.default","25.0.7","23.08","x86_64","flathub"
"Mesa (Extra)","org.freedesktop.Platform.GL.default","25.0.7","23.08-extra","x86_64","flathub"
"Mesa","org.freedesktop.Platform.GL.default","25.2.4","24.08","x86_64","flathub"
"Mesa (Extra)","org.freedesktop.Platform.GL.default","25.2.4","24.08extra","x86_64","flathub"
"Mesa","org.freedesktop.Platform.GL.default","25.2.4","25.08","x86_64","flathub"
"Mesa (Extra)","org.freedesktop.Platform.GL.default","25.2.4","25.08-extra","x86_64","flathub"
"Mesa","org.freedesktop.Platform.GL32.default","25.0.7","23.08","x86_64","flathub"
"Mesa","org.freedesktop.Platform.GL32.default","25.2.4","24.08","x86_64","flathub"
"Mesa (Extra)","org.freedesktop.Platform.GL32.default","25.2.4","24.08extra","x86_64","flathub"
"Intel VAAPI driver","org.freedesktop.Platform.VAAPI.Intel","","23.08","x86_64","flathub"
"Intel VAAPI driver","org.freedesktop.Platform.VAAPI.Intel","","24.08","x86_64","flathub"
"Intel VAAPI driver","org.freedesktop.Platform.VAAPI.Intel","","25.08","x86_64","flathub"
"i386","org.freedesktop.Platform.VAAPI.Intel.i386","","24.08","x86_64","flathub"
"i386","org.freedesktop.Platform.VAAPI.Intel.i386","","25.08","x86_64","flathub"
"Codecs Extra Extension","org.freedesktop.Platform.codecs-extra","","25.08-extra","x86_64","flathub"
"FFmpeg extension with extra codecs","org.freedesktop.Platform.ffmpeg-full","","23.08","x86_64","flathub"
"FFmpeg extension with extra codecs","org.freedesktop.Platform.ffmpeg-full","","24.08","x86_64","flathub"
"i386","org.freedesktop.Platform.ffmpeg_full.i386","","23.08","x86_64","flathub"
"i386","org.freedesktop.Platform.ffmpeg_full.i386","","24.08","x86_64","flathub"
"openh264","org.freedesktop.Platform.openh264","2.4.1","2.4.1","x86_64","flathub"
"openh264","org.freedesktop.Platform.openh264","2.5.1","2.5.1","x86_64","flathub"
"GNU Image Manipulation Program","org.gimp.GIMP","3.0.6","stable","x86_64","flathub"
"Audio Player","org.gnome.Decibels","49.0","stable","x86_64","flathub"
"Image Viewer","org.gnome.Loupe","49.0","stable","x86_64","flathub"
"Document Viewer","org.gnome.Papers","49.1","stable","x86_64","flathub"
"GNOME Application Platform version 46","org.gnome.Platform","","46","x86_64","flathub"
"GNOME Application Platform version 47","org.gnome.Platform","","47","x86_64","flathub"
"GNOME Application Platform version 48","org.gnome.Platform","","48","x86_64","flathub"
"GNOME Application Platform version 49","org.gnome.Platform","","49","x86_64","flathub"
"i386","org.gnome.Platform.Compat.i386","","46","x86_64","flathub"
"i386","org.gnome.Platform.Compat.i386","","48","x86_64","flathub"
"Video Player","org.gnome.Showtime","49.0","stable","x86_64","flathub"
"Mint-Y-Aqua Gtk Theme","org.gtk.Gtk3theme.Mint-Y-Aqua","","3.22","x86_64","flathub"
"Mint-Y-Dark-Orange Gtk Theme","org.gtk.Gtk3theme.Mint-Y-Dark-Orange","","3.22","x86_64","flathub"
"Mint-Y-Orange Gtk Theme","org.gtk.Gtk3theme.Mint-Y-Orange","","3.22","x86_64","flathub"
"Adwaita theme","org.kde.KStyle.Adwaita","","6.9","x86_64","flathub"
"KDE Application Platform","org.kde.Platform","","6.9","x86_64","flathub"
"KleverNotes","org.kde.klevernotes","1.2.4","stable","x86_64","flathub"
"Prism Launcher","org.prismlauncher.PrismLauncher","9.4","stable","x86_64","flathub"
"TeXstudio","org.texstudio.TeXstudio","4.8.9","stable","x86_64","flathub"
"DXVK","org.winehq.Wine.DLLs.dxvk","2.4.1","stable-23.08","x86_64","flathub"
"Gecko","org.winehq.Wine.gecko","","stable-23.08","x86_64","flathub"
"gecko","org.winehq.Wine.gecko","","stable-24.08","x86_64","flathub"
"Mono","org.winehq.Wine.mono","","stable-23.08","x86_64","flathub"
"mono","org.winehq.Wine.mono","","stable-24.08","x86_64","flathub"
"PortProton","ru.linux_gaming.PortProton","1.7.3","stable","x86_64","flathub"
